Transaktionscode,Erstellt,Aktualisiert,Betrag EUR,Währung,DR/CR,Transaktionstyp,Status,E-Mail Gegenpartei,Name Gegenpartei,Konto Gegenpartei,Land,Eltern-TX,Artikelbezeichnung,Betreff,Hinweise,Rechnungsnr.,Rechnungsadresse,Lieferadresse,Zahlungsquelle,IP-Adresse,Umleitungs-URL,is_streaming_payment
Q5UZNOFY6452H2ZQU,03.08.2023 14:23,03.08.2023 14:23,12.0,EUR,CR,Mobile Payment-Personal,Completed,anna26@yahoo.com,Anna Fischer,2038432378642411199,FR,PARENT,Access,Payment,,,,,Credit Card,136.253.144.153,,1
IW1SWJCKJLTEIYZCO,11.10.2024 09:48,11.10.2024 09:48,19.0,EUR,DR,Goods and Services,Completed,sophie55@web.de,Sophie Becker,2017946870524423727,AT,PARENT,,,,,,,Bank Transfer,100.232.198.150,https://shop.example.com,1
64T026RJRNY20479T,25.11.2024 15:39,25.11.2024 15:39,12.0,EUR,DR,Goods and Services,Completed,sarah49@web.de,Sarah Müller,2162674912535136504,IT,PARENT,,,,,,,PayPal Balance,22.165.110.35,https://shop.example.com,1
8P4Q0B8IC8BBI4WIR,05.11.2023 06:03,05.11.2023 06:03,40.0,EUR,CR,Mobile Payment-Personal,Completed,mila42@gmx.de,Mila Weber,2134036919402923579,IT,PARENT,Service,,,,,,Bank Transfer,197.95.43.156,,1
8OZCYWD14VE92MPNS,07.06.2023 10:19,07.06.2023 10:19,50.0,EUR,DR,Mobile Payment-Personal,Completed,laura40@yahoo.com,Laura Schmidt,2030419507411278829,FR,PARENT,,,,,,,Bank Transfer,163.229.213.118,,1
P0J43D5IQVNB4GH2M,29.01.2024 08:03,29.01.2024 08:03,50.0,EUR,DR,Goods and Services,Completed,sarah84@web.de,Sarah Weber,2002925858663191075,ES,PARENT,,,,,,,PayPal Balance,22.62.185.105,https://shop.example.com,1
YLURTP0LZJJEGET1G,15.12.2024 19:26,15.12.2024 19:26,40.0,EUR,CR,Goods and Services,Completed,mila83@gmx.de,Mila Schulz,2139560743502950856,NL,PARENT,,,,,,,Credit Card,151.251.195.135,https://shop.example.com,1
J9TZE5R5UQPGB7R3O,28.11.2023 07:06,28.11.2023 07:06,30.0,EUR,CR,Mobile Payment-Personal,Completed,laura38@netflix.com,Laura Hoffmann,2181425373885999238,IT,PARENT,,,,,,,PayPal Balance,39.39.208.145,,1
QP49KWV08HHXFGCAQ,29.08.2024 02:20,29.08.2024 02:20,50.0,EUR,DR,Mobile Payment-Personal,Completed,daniel72@paypal.com,Daniel Schmidt,2009407796400355344,AT,PARENT,,Invoice,,,,,Bank Transfer,181.73.180.221,,1
JFC2V37PQKOJTPV60,16.10.2023 02:16,16.10.2023 02:16,35.0,EUR,DR,Mobile Payment-Personal,Completed,mila81@outlook.com,Mila Schmidt,2026323180358407409,AT,PARENT,,,,,,,Credit Card,215.221.148.151,,1
RDMLY4LYK83TQLL8O,06.10.2024 01:02,06.10.2024 01:02,25.0,EUR,CR,Mobile Payment-Personal,Completed,max61@yahoo.com,Max Hoffmann,2133155614982892013,FR,PARENT,,,,,,,PayPal Balance,49.133.93.160,,1
9VIFTTD96QE3RZSJ4,10.07.2023 19:14,10.07.2023 19:14,25.0,EUR,DR,Mobile Payment-Personal,Completed,mila35@yahoo.com,Mila Becker,2131659736719631875,ES,PARENT,,,,,,,PayPal Balance,99.49.236.154,,1
04UX5QRL1N759IN4O,27.08.2024 07:17,27.08.2024 07:17,30.0,EUR,DR,Goods and Services,Completed,felix99@ebay.de,Felix Weber,2136326122054156081,IT,PARENT,,Invoice,,,,,Bank Transfer,99.254.170.203,https://shop.example.com,1
Q0OXFQ8MYX444NLZ1,28.04.2024 12:03,28.04.2024 12:03,15.0,EUR,CR,Goods and Services,Completed,paul17@gmail.com,Paul Weber,2019720937697039053,AT,PARENT,,,,,,,Credit Card,176.236.74.59,https://shop.example.com,1
LCMPIOYGGVNYRUIWQ,27.05.2023 08:58,27.05.2023 08:58,40.0,EUR,CR,Mobile Payment-Personal,Completed,sarah98@gmail.com,Sarah Schmidt,2195308038383614601,ES,PARENT,,,,,,,PayPal Balance,19.114.242.89,,1
RIUU9K9XJUY0BVR6K,31.12.2023 05:33,31.12.2023 05:33,40.0,EUR,CR,Goods and Services,Completed,laura89@gmx.de,Laura Hoffmann,2063123758632776908,IT,PARENT,,,,,,,PayPal Balance,159.65.174.194,https://shop.example.com,1
0GET8T63J3R30ME8F,03.10.2024 23:53,03.10.2024 23:53,12.0,EUR,CR,Mobile Payment-Personal,Completed,sarah40@gmail.com,Sarah Weber,2194937041567493271,IT,PARENT,Subscription,Invoice,,,,,Credit Card,251.102.248.217,,1
V37DIA5U6HC36KOF8,21.01.2024 03:29,21.01.2024 03:29,45.0,EUR,DR,Mobile Payment-Personal,Completed,felix2@gmx.de,Felix Klein,2141989381110306982,DE,PARENT,,Invoice,,,,,PayPal Balance,61.228.138.35,,1
8BNP84DYT9MOGE4QX,14.08.2023 00:58,14.08.2023 00:58,35.0,EUR,CR,Mobile Payment-Personal,Completed,lukas54@web.de,Lukas Becker,2070203952009894690,AT,PARENT,Access,,,,,,Credit Card,53.18.213.196,,1
JGXAA2ILGB0S0R2SD,03.08.2023 21:23,03.08.2023 21:23,50.0,EUR,CR,Mobile Payment-Personal,Completed,felix43@yahoo.com,Felix Fischer,2177292478763156073,DE,PARENT,Subscription,Service Fee,,,,,Credit Card,201.233.222.169,,1
CCVCJWTL9TQVDZ4X1,28.11.2024 13:37,28.11.2024 13:37,35.0,EUR,CR,Mobile Payment-Personal,Completed,felix8@gmail.com,Felix Hoffmann,2130151843221803074,AT,PARENT,,Invoice,,,,,Bank Transfer,87.212.117.103,,1
DDP0NEC8UYO57P6BK,07.01.2024 05:02,07.01.2024 05:02,30.0,EUR,DR,Goods and Services,Completed,lukas86@outlook.com,Lukas Schmidt,2029860830355225617,ES,PARENT,,,,,,,Credit Card,55.40.169.124,https://shop.example.com,1
WXA73JGZLMA5UOFWB,17.06.2023 07:31,17.06.2023 07:31,25.0,EUR,CR,Mobile Payment-Personal,Completed,lea48@web.de,Lea Schmidt,2121008476092516043,FR,PARENT,Access,Service Fee,,,,,Bank Transfer,41.95.80.185,,1
PJ1EPKYRYBOVAKHEJ,14.03.2023 11:19,14.03.2023 11:19,15.0,EUR,DR,Mobile Payment-Personal,Completed,sophie21@spotify.com,Sophie Schmidt,2002227993325292374,FR,PARENT,,,,,,,Credit Card,111.45.34.98,,1
LPOXKO8G8QYNPDPOC,01.08.2024 06:38,01.08.2024 06:38,12.0,EUR,DR,Mobile Payment-Personal,Completed,felix10@outlook.com,Felix Fischer,2097858041313824950,AT,PARENT,,,,,,,Bank Transfer,200.44.20.131,,1
V1XG1R11Q7UWW5WFC,26.05.2024 07:49,26.05.2024 07:49,19.0,EUR,DR,Mobile Payment-Personal,Completed,paul45@yahoo.com,Paul Schmidt,2087282048928216197,NL,PARENT,,,,,,,Credit Card,15.91.130.19,,1
SQT26Q3XLRFCD6MZS,23.02.2024 02:04,23.02.2024 02:04,15.0,EUR,CR,Mobile Payment-Personal,Completed,daniel48@gmail.com,Daniel Becker,2071407263142983664,IT,PARENT,Subscription,,,,,,Bank Transfer,254.113.135.134,,1
MLUNJ48VFCX7LXXEZ,18.08.2024 07:31,18.08.2024 07:31,30.0,EUR,CR,Mobile Payment-Personal,Completed,laura50@outlook.com,Laura Weber,2161098319022572079,FR,PARENT,,,,,,,Credit Card,203.85.209.33,,1
8RIEC4D145BM1ENF3,10.06.2024 22:48,10.06.2024 22:48,12.0,EUR,CR,Mobile Payment-Personal,Completed,paul66@gmx.de,Paul Schulz,2126150773198254835,DE,PARENT,,,,,,,Bank Transfer,94.174.185.61,,1
89QKNS832EJX5TD44,15.12.2023 07:32,15.12.2023 07:32,25.0,EUR,DR,Goods and Services,Completed,mila30@gmx.de,Mila Hoffmann,2078626738615761595,FR,PARENT,Subscription,,,,,,Credit Card,38.213.112.24,https://shop.example.com,1
ILDZMFB7R31QW6AHF,19.03.2023 13:27,19.03.2023 13:27,35.0,EUR,DR,Mobile Payment-Personal,Completed,lea54@amazon.de,Lea Becker,2068495130356680297,NL,PARENT,,Invoice,,,,,PayPal Balance,13.62.108.164,,1
WIOXD9CSS9TOQW9JA,24.01.2023 22:27,24.01.2023 22:27,45.0,EUR,CR,Mobile Payment-Personal,Completed,laura77@gmx.de,Laura Becker,2069499813645056508,IT,PARENT,Service,,,,,,Credit Card,161.27.198.149,,1
W3C1QKBHB7S9TJ1GM,08.05.2024 01:05,08.05.2024 01:05,19.0,EUR,CR,Goods and Services,Completed,sarah70@outlook.com,Sarah Klein,2189001701731398823,NL,PARENT,,Invoice,,,,,Bank Transfer,32.205.95.112,https://shop.example.com,1
20CV3TLCXLVPYMB5M,30.09.2023 01:44,30.09.2023 01:44,40.0,EUR,DR,Mobile Payment-Personal,Completed,lukas44@yahoo.com,Lukas Becker,2184314476827853462,DE,PARENT,,Invoice,,,,,PayPal Balance,172.164.104.94,,1
N8BFQNPCENLK8AGS6,30.09.2024 03:15,30.09.2024 03:15,12.0,EUR,CR,Mobile Payment-Personal,Completed,felix78@spotify.com,Felix Weber,2061845714207962214,ES,PARENT,,,,,,,Bank Transfer,178.235.126.52,,1
ZTKKFZZGNI92IRMUQ,10.10.2024 05:45,10.10.2024 05:45,15.0,EUR,CR,Goods and Services,Completed,anna23@outlook.com,Anna Weber,2018950598671087561,NL,PARENT,Service,,,,,,Bank Transfer,184.185.123.135,https://shop.example.com,1
52XG8P6BEFFLZM764,06.04.2024 16:55,06.04.2024 16:55,15.0,EUR,DR,Mobile Payment-Personal,Completed,lukas17@paypal.com,Lukas Wolf,2183042740970379169,ES,PARENT,,,,,,,Bank Transfer,33.161.78.158,,1
7B5C81JHUWB6TXKI3,13.08.2023 13:28,13.08.2023 13:28,19.0,EUR,DR,Mobile Payment-Personal,Completed,felix76@yahoo.com,Felix Schmidt,2130725195016347731,DE,PARENT,Access,,,,,,Credit Card,16.41.113.107,,1
NULQJIDKNWI5FLUL1,31.03.2024 05:33,31.03.2024 05:33,30.0,EUR,DR,Goods and Services,Completed,mila19@web.de,Mila Becker,2148359337301498346,FR,PARENT,Service,,,,,,Bank Transfer,226.79.128.6,https://shop.example.com,1
YKADEJNOBBUNKNQT3,28.05.2024 22:34,28.05.2024 22:34,12.0,EUR,CR,Mobile Payment-Personal,Completed,anna28@yahoo.com,Anna Wolf,2113535012753645099,NL,PARENT,,Service Fee,,,,,Bank Transfer,143.241.94.194,,1
F6F7LOW4VSSRURALD,28.02.2023 15:00,28.02.2023 15:00,12.0,EUR,DR,Mobile Payment-Personal,Completed,jonas65@gmx.de,Jonas Fischer,2088682096392765668,IT,PARENT,Service,,,,,,Credit Card,162.7.153.122,,1
3IUZGPPOHSWQ40ZSU,06.09.2023 07:49,06.09.2023 07:49,45.0,EUR,DR,Mobile Payment-Personal,Completed,daniel62@web.de,Daniel Fischer,2108612346418932650,NL,PARENT,,Payment,,,,,PayPal Balance,118.234.137.88,,1
791ZYRRU7ZKUT6OM1,06.12.2024 03:19,06.12.2024 03:19,20.0,EUR,CR,Goods and Services,Completed,felix79@outlook.com,Felix Klein,2012124839952980735,NL,PARENT,,,,,,,Credit Card,21.89.237.114,https://shop.example.com,1
VIYTWBOZD1AT7O75R,30.01.2024 20:46,30.01.2024 20:46,45.0,EUR,CR,Mobile Payment-Personal,Completed,paul26@yahoo.com,Paul Hoffmann,2092570286062887960,NL,PARENT,,,,,,,Credit Card,16.233.197.23,,1
G05KBKV7MQXS6ESJ3,31.08.2024 14:08,31.08.2024 14:08,19.0,EUR,DR,Goods and Services,Completed,paul23@gmail.com,Paul Fischer,2186855526300871465,NL,PARENT,,Invoice,,,,,Credit Card,48.4.189.87,https://shop.example.com,1
LIJI18K0AXYCELOS6,22.04.2024 13:52,22.04.2024 13:52,15.0,EUR,DR,Mobile Payment-Personal,Completed,daniel55@gmx.de,Daniel Fischer,2033842786184126175,IT,PARENT,,Invoice,,,,,Bank Transfer,95.158.57.57,,1
YV2STN7E36HTF4PYZ,28.08.2024 14:51,28.08.2024 14:51,45.0,EUR,DR,Goods and Services,Completed,jonas48@web.de,Jonas Becker,2128401644393592198,DE,PARENT,Access,Payment,,,,,Bank Transfer,34.132.107.117,https://shop.example.com,1
CPZTC69QKGEX08N6Q,01.02.2023 16:55,01.02.2023 16:55,35.0,EUR,DR,Mobile Payment-Personal,Completed,laura93@outlook.com,Laura Müller,2023130483561483863,IT,PARENT,,,,,,,Credit Card,224.139.35.168,,1
ZPNIQFG51BXW76ICV,05.07.2023 11:06,05.07.2023 11:06,20.0,EUR,DR,Goods and Services,Completed,sophie51@web.de,Sophie Schmidt,2193697624548208199,IT,PARENT,Service,,,,,,PayPal Balance,63.190.12.103,https://shop.example.com,1
13I59SOJUV0GYUBMX,26.02.2024 06:29,26.02.2024 06:29,20.0,EUR,DR,Goods and Services,Completed,mila18@gmail.com,Mila Fischer,2151166187721096572,NL,PARENT,Service,,,,,,Credit Card,107.105.39.77,https://shop.example.com,1
COOTNJLCQNT3BNVBC,25.11.2023 04:21,25.11.2023 04:21,25.0,EUR,CR,Goods and Services,Completed,lukas31@gmx.de,Lukas Weber,2060208180759204904,NL,PARENT,,,,,,,Bank Transfer,245.233.4.55,https://shop.example.com,1
QXLM5Q201LHLB50AT,25.10.2023 20:15,25.10.2023 20:15,35.0,EUR,DR,Goods and Services,Completed,lea32@gmx.de,Lea Schmidt,2043929596786227403,AT,PARENT,,Invoice,,,,,Bank Transfer,59.98.146.214,https://shop.example.com,1
ZR7TXCB48Y1O4IZAS,12.12.2024 14:32,12.12.2024 14:32,40.0,EUR,DR,Mobile Payment-Personal,Completed,lea33@outlook.com,Lea Becker,2178078879179188391,IT,PARENT,Service,,,,,,Credit Card,240.158.234.124,,1
SZP7G7SIWJM2C8QIZ,22.08.2024 01:19,22.08.2024 01:19,12.0,EUR,DR,Mobile Payment-Personal,Completed,paul71@web.de,Paul Becker,2023236244864356763,IT,PARENT,Access,Payment,,,,,Credit Card,195.9.24.104,,1
9967I6YUJ7YKTXG4A,14.01.2023 18:18,14.01.2023 18:18,19.0,EUR,CR,Mobile Payment-Personal,Completed,lukas82@gmail.com,Lukas Wolf,2041560386705031071,IT,PARENT,Access,Service Fee,,,,,Bank Transfer,238.20.77.42,,1
C0MDICVWV8LW2QITN,28.04.2024 02:47,28.04.2024 02:47,35.0,EUR,CR,Goods and Services,Completed,laura87@gmx.de,Laura Fischer,2168867005917592446,IT,PARENT,,Service Fee,,,,,Bank Transfer,22.198.159.76,https://shop.example.com,1
LMJEGQTOAMDVLNKND,13.08.2023 16:22,13.08.2023 16:22,35.0,EUR,CR,Mobile Payment-Personal,Completed,lea49@yahoo.com,Lea Schmidt,2150198157008699301,AT,PARENT,,,,,,,Credit Card,98.44.36.69,,1
JIWVHDK8LW2LM349E,25.09.2024 01:02,25.09.2024 01:02,25.0,EUR,DR,Mobile Payment-Personal,Completed,daniel22@gmail.com,Daniel Hoffmann,2057891502096821523,FR,PARENT,,,,,,,Bank Transfer,46.247.102.248,,1
7H9G1A07H23C42YFK,20.12.2023 01:20,20.12.2023 01:20,30.0,EUR,DR,Mobile Payment-Personal,Completed,sophie74@gmx.de,Sophie Hoffmann,2044428763741430514,IT,PARENT,Service,,,,,,Bank Transfer,203.97.19.115,,1
V6DIXFWUXX8L2DDH0,01.09.2024 04:40,01.09.2024 04:40,45.0,EUR,CR,Mobile Payment-Personal,Completed,laura65@web.de,Laura Becker,2107832624828812063,FR,PARENT,Access,Service Fee,,,,,Bank Transfer,198.174.151.177,,1
FLQHRRPZLK3E4XYF9,02.06.2023 06:15,02.06.2023 06:15,25.0,EUR,CR,Mobile Payment-Personal,Completed,felix62@gmail.com,Felix Weber,2050282721948740917,ES,PARENT,Subscription,Service Fee,,,,,PayPal Balance,85.144.110.246,,1
VNZH13CD5GLQJ5SXV,21.09.2024 08:11,21.09.2024 08:11,35.0,EUR,DR,Mobile Payment-Personal,Completed,mila24@yahoo.com,Mila Fischer,2032925153092825316,NL,PARENT,,,,,,,Bank Transfer,217.118.159.45,,1
YSPENGWYX9TRFLQBM,15.07.2023 01:48,15.07.2023 01:48,30.0,EUR,CR,Mobile Payment-Personal,Completed,paul11@web.de,Paul Hoffmann,2039353451679798429,AT,PARENT,,,,,,,Bank Transfer,247.144.130.168,,1
KJTGQ01TEE13N3BZT,08.10.2024 09:44,08.10.2024 09:44,40.0,EUR,DR,Mobile Payment-Personal,Completed,mila91@gmx.de,Mila Wolf,2188408042608362417,AT,PARENT,,Payment,,,,,Bank Transfer,224.9.116.68,,1
FFHHCMKTLZKJ49YD8,02.11.2023 15:46,02.11.2023 15:46,50.0,EUR,DR,Mobile Payment-Personal,Completed,sophie31@gmail.com,Sophie Schmidt,2017087995189685562,NL,PARENT,Access,,,,,,Credit Card,33.180.222.34,,1
NC21O0Z5QRU54D8WZ,25.07.2024 21:53,25.07.2024 21:53,40.0,EUR,CR,Mobile Payment-Personal,Completed,lea98@yahoo.com,Lea Weber,2154037364810943609,FR,PARENT,,,,,,,PayPal Balance,248.110.212.55,,1
D2QE4PA8HYEXF7JXJ,10.07.2023 04:35,10.07.2023 04:35,50.0,EUR,DR,Goods and Services,Completed,mila44@outlook.com,Mila Hoffmann,2047709358504479638,DE,PARENT,Access,Payment,,,,,Bank Transfer,161.79.186.180,https://shop.example.com,1
QAME4YRID3DNKN35X,07.11.2023 19:36,07.11.2023 19:36,40.0,EUR,CR,Mobile Payment-Personal,Completed,lea1@gmail.com,Lea Wolf,2152908597037329487,ES,PARENT,,,,,,,PayPal Balance,157.167.43.113,,1
0MP2IXIVZK7A45HVG,06.10.2024 06:26,06.10.2024 06:26,20.0,EUR,DR,Mobile Payment-Personal,Completed,sophie53@yahoo.com,Sophie Fischer,2186245756207277258,DE,PARENT,,Service Fee,,,,,PayPal Balance,127.99.29.62,,1
Y181ACJBC2SWSOZCT,05.04.2024 21:31,05.04.2024 21:31,19.0,EUR,CR,Mobile Payment-Personal,Completed,mila47@gmail.com,Mila Schmidt,2024095214398873659,NL,PARENT,Service,,,,,,PayPal Balance,131.236.53.250,,1
DPQVL00EZZF8S2ZGE,07.04.2023 06:53,07.04.2023 06:53,25.0,EUR,DR,Mobile Payment-Personal,Completed,jonas82@web.de,Jonas Schulz,2008461364316056967,NL,PARENT,Subscription,,,,,,Bank Transfer,70.135.17.68,,1
16YE0A4ABN7G8B2ZX,22.03.2023 17:44,22.03.2023 17:44,40.0,EUR,CR,Goods and Services,Completed,sarah47@web.de,Sarah Schmidt,2071556991211904492,FR,PARENT,,,,,,,Credit Card,82.70.212.20,https://shop.example.com,1
1LDQNK20IN8910T2F,22.11.2023 00:52,22.11.2023 00:52,45.0,EUR,DR,Goods and Services,Completed,laura23@gmail.com,Laura Klein,2067157023570983829,ES,PARENT,Subscription,Invoice,,,,,Bank Transfer,163.215.178.225,https://shop.example.com,1
C9ZD76SZN9DDE3CUP,23.03.2024 20:16,23.03.2024 20:16,15.0,EUR,CR,Mobile Payment-Personal,Completed,max95@gmx.de,Max Klein,2084069888437326474,NL,PARENT,Service,,,,,,Bank Transfer,238.206.101.180,,1
FQOT8HLJEFY3ZB4LD,19.04.2023 18:30,19.04.2023 18:30,20.0,EUR,CR,Mobile Payment-Personal,Completed,sarah30@outlook.com,Sarah Klein,2102535871540563997,FR,PARENT,Subscription,,,,,,Credit Card,13.174.77.67,,1
C2IHOY7DV7C9HX3D4,30.12.2023 20:58,30.12.2023 20:58,15.0,EUR,DR,Mobile Payment-Personal,Completed,jonas72@outlook.com,Jonas Müller,2012306374614448402,FR,PARENT,Subscription,,,,,,PayPal Balance,44.237.147.111,,1
5BWIKOTCKEH5SW229,13.09.2024 08:59,13.09.2024 08:59,19.0,EUR,DR,Mobile Payment-Personal,Completed,sarah88@gmx.de,Sarah Wolf,2156946572436609392,FR,PARENT,Service,,,,,,Bank Transfer,234.145.129.83,,1
T199DXJ37C9H42M44,15.11.2023 23:18,15.11.2023 23:18,12.0,EUR,CR,Goods and Services,Completed,lukas77@outlook.com,Lukas Hoffmann,2170782121341656440,NL,PARENT,Subscription,Invoice,,,,,Credit Card,179.92.234.152,https://shop.example.com,1
CVARLW3MG25CFZFDS,02.10.2023 03:14,02.10.2023 03:14,40.0,EUR,DR,Mobile Payment-Personal,Completed,max19@web.de,Max Klein,2020905813273423279,NL,PARENT,,,,,,,Credit Card,242.170.102.151,,1
6WMX3N0KGAZU41UGL,28.09.2024 05:39,28.09.2024 05:39,40.0,EUR,CR,Mobile Payment-Personal,Completed,anna21@yahoo.com,Anna Klein,2163008760548156419,DE,PARENT,,Service Fee,,,,,Bank Transfer,37.85.191.20,,1
CJDAN085RNTDR5XYF,10.05.2023 05:11,10.05.2023 05:11,30.0,EUR,CR,Mobile Payment-Personal,Completed,lea82@spotify.com,Lea Klein,2085001620589231490,DE,PARENT,,,,,,,Bank Transfer,67.244.27.19,,1
WRB7F6FDHGZZ0JKIB,20.04.2023 05:31,20.04.2023 05:31,45.0,EUR,DR,Goods and Services,Completed,sophie94@spotify.com,Sophie Weber,2015709951646346118,NL,PARENT,Service,,,,,,PayPal Balance,110.23.76.211,https://shop.example.com,1
2Q6JXNNNGBPJ4UFZD,06.09.2023 19:01,06.09.2023 19:01,25.0,EUR,DR,Goods and Services,Completed,paul27@gmail.com,Paul Becker,2156062051102680338,FR,PARENT,,,,,,,Credit Card,59.142.16.216,https://shop.example.com,1
6ZS62YWE1G983EP9P,22.11.2024 12:18,22.11.2024 12:18,50.0,EUR,CR,Goods and Services,Completed,lukas88@web.de,Lukas Schulz,2171510812354550812,NL,PARENT,,,,,,,Bank Transfer,234.187.235.207,https://shop.example.com,1
V2EFUU8DD22555JXU,19.04.2024 22:57,19.04.2024 22:57,25.0,EUR,DR,Mobile Payment-Personal,Completed,anna71@gmx.de,Anna Schmidt,2049633191989303715,NL,PARENT,Subscription,Service Fee,,,,,Bank Transfer,37.159.156.175,,1
3KKRZD5E9P3JPXGH3,12.12.2023 23:59,12.12.2023 23:59,12.0,EUR,DR,Goods and Services,Completed,sarah89@outlook.com,Sarah Wolf,2148871399466739462,NL,PARENT,Service,,,,,,PayPal Balance,132.203.41.17,https://shop.example.com,1
Q7ZJ3SWEBNVG5VMF6,12.02.2023 03:48,12.02.2023 03:48,19.0,EUR,CR,Mobile Payment-Personal,Completed,daniel73@web.de,Daniel Schulz,2007912065423003288,FR,PARENT,Subscription,,,,,,PayPal Balance,42.219.147.200,,1
6XVAJ2K8XPNMJQY3O,19.08.2024 09:18,19.08.2024 09:18,45.0,EUR,CR,Mobile Payment-Personal,Completed,lea35@yahoo.com,Lea Fischer,2147433789077948376,IT,PARENT,Access,,,,,,Bank Transfer,144.166.153.156,,1
8XGSIC43OLFARK6O0,04.05.2024 17:57,04.05.2024 17:57,25.0,EUR,CR,Mobile Payment-Personal,Completed,daniel9@gmx.de,Daniel Hoffmann,2064091828632116907,IT,PARENT,Service,,,,,,Credit Card,164.201.122.233,,1
31GYMDM0L2LJK4Q5V,21.09.2023 19:09,21.09.2023 19:09,25.0,EUR,CR,Mobile Payment-Personal,Completed,paul85@yahoo.com,Paul Klein,2144252782483709806,DE,PARENT,,,,,,,Credit Card,98.136.77.106,,1
Z2RWGWAJ1G1R1DWWO,18.08.2024 22:17,18.08.2024 22:17,50.0,EUR,DR,Goods and Services,Completed,max44@yahoo.com,Max Weber,2001345786698860144,DE,PARENT,Subscription,,,,,,Credit Card,52.188.96.244,https://shop.example.com,1
MENVG3KK0VM59M6MG,27.01.2023 02:12,27.01.2023 02:12,12.0,EUR,DR,Mobile Payment-Personal,Completed,max25@web.de,Max Klein,2065837085611088853,AT,PARENT,,,,,,,Credit Card,253.34.55.188,,1
B9XXAYPNTRFZWKXXJ,24.02.2023 09:56,24.02.2023 09:56,35.0,EUR,CR,Goods and Services,Completed,max92@outlook.com,Max Schulz,2030239472726316600,ES,PARENT,,,,,,,Credit Card,159.31.73.30,https://shop.example.com,1
